A Narrain | Lat: 14.223525, Lon: 76.208414 | 887.18m
Achinsk Alumina Refinery | Lat: 56.234643, Lon: 90.423973 | 250.93m
AGA Mineracao | Lat: -19.867725, Lon: -43.739068 | 1008.48m
Air Quality | Lat: 38.628058, Lon: -87.445879 | 146.52m
Airly | Lat: -33.115251, Lon: 150.028607 | 730.66m
Al Ba’itha | Lat: 27.671628, Lon: 43.986672 | 583.31m
Albras | Lat: -1.554160, Lon: -48.733735 | 22.65m
Alexievskaya | Lat: 54.616447, Lon: 86.326374 | 192.49m
Altar | Lat: -31.483951, Lon: -70.467269 | 3926.65m
Altonorte | Lat: -23.823028, Lon: -70.314317 | 1085.15m
Alumar | Lat: -2.705369, Lon: -44.332949 | 21.19m
Alunorte | Lat: -1.544991, Lon: -48.731595 | 26.56m
Amandelbult | Lat: -24.784391, Lon: 27.349895 | 1054.26m
Amapa | Lat: 0.822420, Lon: -51.869092 | 117.21m
Ambatovy | Lat: -18.826559, Lon: 48.312245 | 946.2m
Amonate | Lat: 37.191008, Lon: -81.637237 | 601.38m
AMVEST Fola Complex | Lat: 38.358663, Lon: -81.084090 | 405.62m
AMVEST Terry Eagle Complex | Lat: 38.232806, Lon: -81.147364 | 234.62m
Andorinhas | Lat: -7.460556, Lon: -49.816389 | 237.49m
Andrade | Lat: -19.795128, Lon: -43.171528 | 707.5m
Angus Place | Lat: -33.351538, Lon: 150.099689 | 912.27m
Antapaccay | Lat: -14.883244, Lon: -71.314831 | 4114.74m
Antas | Lat: -6.240522, Lon: -49.752962 | 271.46m
Antelope | Lat: 43.474572, Lon: -105.358442 | 1419.49m
Antonovskaya | Lat: 53.876412, Lon: 87.312122 | 186.23m
Antucoya | Lat: -22.629118, Lon: -69.837417 | 1436.39m
ArcelorMittal Bremen | Lat: 53.142614, Lon: 8.693016 | 3.21m
ArcelorMittal Cleveland | Lat: 41.464762, Lon: -81.665985 | 196.93m
ArcelorMittal Gipuzkoa | Lat: 43.103927, Lon: -2.425795 | 159.43m
