777 | Lat: 54.774816, Lon: -101.879464 | Copper
A Narrain | Lat: 14.223525, Lon: 76.208414 | Iron
Absaloka | Lat: 45.805305, Lon: -107.082901 | Coal
Abyz | No coordinates. | Gold
Achinsk Alumina Refinery | Lat: 56.234643, Lon: 90.423973 | Processing
Acindar | Lat: -33.339651, Lon: -60.195878 | Processing
AGA Mineracao | Lat: -19.939170, Lon: -43.624954 | Gold
Aguablanca | Lat: 37.965585, Lon: -6.180327 | Nickel
Ahafo | Lat: 7.042639, Lon: -2.334172 | Gold
AHMSA Monclova Steel Plant | Lat: 26.880873, Lon: -101.434504 | Processing
Air Quality | Lat: 38.628058, Lon: -87.445879 | Coal
Airly | Lat: -33.115251, Lon: 150.028607 | Coal
Aitik | Lat: 67.075073, Lon: 20.963623 | Copper
Akbastau | Lat: 48.626819, Lon: 77.705729 | Copper
Aktogay | Lat: 46.952427, Lon: 79.931816 | Copper
Akyem | Lat: 6.345645, Lon: -1.023141 | Gold
Al Ba’itha | Lat: 27.671628, Lon: 43.986672 | Aluminium
Alamo Dorado | Lat: 26.751935, Lon: -108.662618 | Silver
Albras | Lat: -1.554160, Lon: -48.733735 | Processing
Alexievskaya | Lat: 54.616447, Lon: 86.326374 | Coal
Aljustrel | Lat: 37.876617, Lon: -8.153213 | Zinc
Alma | Lat: 48.585524, Lon: -71.690843 | Processing
Alouette | Lat: 50.160336, Lon: -66.437372 | Processing
Alpamarca | Lat: -11.223415, Lon: -76.460971 | Silver
Alpart | Lat: 17.967915, Lon: -77.608248 | Aluminium
ALSCON Aluminium Smelter | Lat: 4.572290, Lon: 7.583047 | Processing
Altar | Lat: -31.483951, Lon: -70.467269 | Other mine
Altonorte | Lat: -23.823028, Lon: -70.314317 | Processing
Alucam | Lat: 3.819185, Lon: 10.125405 | Processing
Alumar | Lat: -2.705369, Lon: -44.332949 | Processing
Alumbrera | Lat: -27.330637, Lon: -66.609062 | Copper
Alunorte | Lat: -1.544991, Lon: -48.731595 | Processing
Amandelbult | Lat: -24.784391, Lon: 27.349895 | Other (poly)-metallic
Amapa | Lat: 0.822420, Lon: -51.869092 | Iron
Ambatovy | Lat: -18.826559, Lon: 48.312245 | Nickel
